Empresa,Nemónico,Seg.,Ant.,Fecha ant.,Apertura,Última,Var%,Compra,Venta,Monto,Cantidad Neg.,N°Op
Paramount Global,PARA,RV3,21.95,31/03/23,21.27,21.27,-3.10%,,,"10,635.00",500,1
EMPRESA AGROINDUSTRIAL POMALCA S.A.A.,POMALCC1,RV1,0.39,03/04/23,,,0.00%,0.365,0.38,38.00,100,1
SOUTHERN COPPER CORPORATION,SCCO,RV3,77.0,03/04/23,73.8,73.6,-4.42%,70.0,78.0,"702,644.00","9,547",3
SOCIEDAD ELECTRICA DEL SUR OESTE S.A. - ...,SEALDC1,RV1,3.05,04/04/23,,,0.00%,3.05,3.5,"1,482.00",486,1
EMPRESA SIDERURGICA DEL PERU S.A.A.,SIDERC1,RV1,1.55,04/04/23,1.55,1.55,0.00%,1.52,1.55,"32,491.00","20,962",6
iShares Semiconductor ETF,SOXX,RV3,429.52,20/03/23,423.2,423.2,-1.47%,,,"4,232.00",10,1
SOUTHERN PERU COPPER CORPORATION - SUCUR...,SPCCPI1,RV1,59.0,27/03/23,60.01,60.01,1.71%,60.0,64.49,"37,746.00",629,3
Standard & Poors DR Trust S I,SPY,RV3,408.0,04/04/23,407.0,407.0,-0.25%,407.0,,"148,962.00",366,1
AT & T Inc,T,RV3,20.2,25/01/23,20.0,20.0,0.00%,,,"3,480.00",174,1
Tesla,TSLA,RV3,191.48,04/04/23,186.5,186.5,-2.60%,183.95,,"3,944.00",21,3
UNACEM CORP S.A.A.,UNACEMC1,RV1,1.54,04/04/23,1.58,1.57,1.95%,1.57,1.58,"49,124.00","31,162",7
VISA INC,V,RV3,218.79,24/03/23,227.5,227.5,3.98%,,228.0,"4,767.00",21,4
VOLCAN COMPAÑIA MINERA S.A.A.,VOLCABC1,RV1,0.482,04/04/23,0.482,0.484,0.41%,0.48,0.485,"198,387.00","409,656",33
